,Title,Genre,Datepublish,Rate,RatingCount,Director(s),Writer(s),Actor(s),Summary,Description,PlotKeyword,Time,Color,Language,Budget,Gross,Facebook_link,Offcialsite
682,Filly Brown (2012),"['Drama', 'Music']",2013-04-19,5.7,973,"['Youssef Delara,', 'Michael D. Olmos']",['Youssef Delara'],"['Gina Rodriguez,', 'Jenni Rivera,', 'Lou Diamond Phillips']",A promising hip-hop rhymer from Los Angeles finds herself in a gray area when a record producer offers her a compromising shot at stardom.,"Maria Jose 'Majo' Tonorio is a tough LA street poet who spits from the heart. After meeting a talented DJ she cuts her first demo under the guidance of a small time hustler more interested in promoting Majo's sexuality than her lyrics. Soon a major label and its strong-arm executive come calling. Convinced that a record deal will deliver much needed money for the family, Majo is suddenly faced with some stark choices. Does she accept the deal and turn her back on the friends who got her to the precipice of success or does she let a golden opportunity slip away.                Written by
Anonymous",,"Runtime:
        80 min","Color:
        Color","Language:
        English","Budget:$427,000
            (estimated)","Gross USA: $2,833,383, 26 May 2013",/offsite/?page-action=offsite-facebook&token=BCYlIuiCBRBb_bCc8VVY_MsbhnXB4wOAvlH022msywdD7TNjCPNid0ixVpY_XMpbk1afodPc0qXn%0D%0ATIJCXuypiXSB1BPpicLY7plDCq9pM1P_tn_lTil61_ulDspn7IirVMViKj2vur3hHCuKzCg7-7eC%0D%0ABM1EXqQ_fsUIOd-nqSgLguy1Mw4LhBYwoVEpd87i7veSG7jWrrC4mq1YlvcprklGZRds_Tdhw4I0%0D%0AgjB2FJKpJvY%0D%0A&ref_=tt_pdt_ofs_offsite_0,
683,Filth: The Mary Whitehouse Story (2008),"['Biography', 'Comedy', 'Drama']",2008-05-28,7.3,259,['Andy De Emmony (as Andy de Emmony)'],"['Amanda Coe,', 'Patrick Reams (original idea)']","['Julie Walters,', 'Alun Armstrong,', 'Hugh Bonneville']","Documents the rise of Mary Whitehouse during the 1960s, and the relationship between her and Sir Hugh Carleton Greene, the Director General of the BBC.","In the early 1960s, Mrs. Mary Whitehouse, a middle-aged school teacher, begins a campaign against what she sees as filth and smut on BBC television and radio. She and a friend start knocking on doors, circulating petitions and organizing rallies. Her nemesis during this time is Sir Hugh Carleton Greene, Director General of the BBC. He thinks she is just an old busybody who has no artistic taste and doesn't represent the mainstream of British society. Throughout his tenure, which lasted several years, he refused to see her or respond to her correspondence. She continued to campaign at what she viewed as unacceptable programming until her death in 2001.                Written by
garykmcd","['campaign', '1960s', 'colon in title', 'five word title', 'threatening telephone call']","Runtime:
        90 min","Color:
        Color","Language:
        English",,,,
684,Final Destination 5 (2011),"['Fantasy', 'Horror', 'Mystery']",2011-08-12,5.9,"92,389",['Steven Quale'],"['Eric Heisserer,', 'Jeffrey Reddick (characters)']","[""Nicholas D'Agosto,"", 'Emma Bell,', 'Arlen Escarpeta']",Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.,"In this latest installment to the horror franchise, Sam and his friends manages to escape a ill-fated bridge, thanks to a premonition Sam obtained. However, when two of his friends died in a mysterious way, Sam must use his memories from the premonition to save his friends, before death hunts him down.                Written by
DarryLazakar","['suspension bridge', 'gymnast', 'death of protagonist', 'characters killed one by one', 'eyeball run over by car']","Runtime:
        92 min","Color:
        Color","Language:
        English
            |
        Cantonese","Budget:$40,000,000
            (estimated)","Gross USA: $42,587,643",,
685,Finding Amanda (2008),"['Comedy', 'Drama']",2011-03-14,5.6,"3,089",['Peter Tolan'],['Peter Tolan'],"['Matthew Broderick,', 'Brittany Snow,', 'Maura Tierney']",A television producer with a penchant for drinking and gambling is sent to Las Vegas to convince his troubled niece to enter rehab.,"Taylor Mendon is a Hollywood scriptwriter on a minor rebound from drugs and booze. He's writing for a mirthless sit-com and betting on the horses behind his wife's back when her sister calls needing help: Taylor's 20-year-old niece Amanda has become a hooker in Las Vegas. He promises to find her, bring her back, and pay for her stay at an expensive rehab center. Once in Nevada, Taylor starts gambling in earnest using money loaned him by the casino. He also finds Amanda, a cheerful prostitute, uninterested in reform. Can Taylor win back his borrowings, keep his wife from discovering his habit, and help Amanda find redemption? Or is life different from a sit-com?                Written by
<jhailey@hotmail.com>","['rehab', 'gambling', 'niece', 'television producer', 'voyeurism']","Runtime:
        96 min","Color:
        Color","Language:
        English",,"Gross USA: $56,408, 13 July 2008",,
686,Finding Dory (2016),"['Animation', 'Adventure', 'Comedy']",2016-06-17,7.3,"188,072","['Andrew Stanton,', 'Angus MacLane (co-director)']","['Andrew Stanton (original story by),', 'Andrew Stanton (screenplay by)']","['Ellen DeGeneres,', 'Albert Brooks,', ""Ed O'Neill""]","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","Dory is a wide-eyed, blue tang fish who suffers from memory loss every 10 seconds or so. The one thing she can remember is that she somehow became separated from her parents as a child. With help from her friends Nemo and Marlin, Dory embarks on an epic adventure to find them. Her journey brings her to the Marine Life Institute, a conservatory that houses diverse ocean species.                Written by
Jwelch5742","['fish', 'ocean', 'whale', 'whale shark', 'talking animal']","Runtime:
        97 min","Color:
        Color","Language:
        English
            |
        Indonesian","Budget:$200,000,000
            (estimated)","Gross USA: $486,295,561",/offsite/?page-action=offsite-facebook&token=BCYjt8X3K2BAh61GhBJySRU15GVxvxt9vQyL5qQEukfHrLb3l2Yhpu4tOYEFTvGXWiYJvt9xr2lq%0D%0AmNS-ZmZ3SwKM9Hdh3Bt7IQaPcOkZxY_1VOJoUST2l5o1saxxQD7sONEOB7RjPmS_obiT-xUSDJdu%0D%0AxIc3jOK4ZqoWsjgJuuSsv6wmk9-WoBUoXQM-5_pz7RDIyQ0hawgPdxkwWSnLJrC-xSR5xdTeyngE%0D%0AwjJaznqPgu4%0D%0A&ref_=tt_pdt_ofs_offsite_0,
687,Fire & Ice (2008),"['Adventure', 'Drama', 'Fantasy']",2008-09-18,4.4,"2,387",['Pitof (as Jean C. Comar)'],"['Michael Konyves,', 'Angela Mancuso']","['Amy Acker,', 'Tom Wisdom,', 'John Rhys-Davies']","Ruled by King Augustin, Carpia is a peaceful kingdom in a world inhabited by dragons and knights. The land's serenity is unexpectedly shattered by a Fire Dragon that spreads almighty fear and death amongst the kingdom's innocent people.","Ruled by King Augustin, Carpia is a peaceful kingdom in a world inhabited by dragons and knights. The land's serenity is unexpectedly shattered by a Fire Dragon that spreads almighty fear and death amongst the kingdom's innocent people.","['kingdom', 'dragon', 'land', 'fire', 'knight']","Runtime:
        84 min","Color:
        Color","Language:
        English","Budget:$3,000,000
            (estimated)",,,
688,Fired Up! (2009),['Comedy'],2009-02-20,6.2,"39,531",['Will Gluck'],['Will Gluck (as Freedom Jones)'],"['Eric Christian Olsen,', ""Nicholas D'Agosto,"", 'Sarah Roemer']",The two most popular guys in high school decide to ditch football camp for cheerleader camp. For the girls and for the glory.,"Two guys, Nick and Shawn decide a two week stint at a Cheerleaders' Camp is the perfect opportunity to score tons of meaningless romantic liaisons with lonely girls in tight-tops and short-short skirts. But their lusty plan to caress as many pom-poms as possible goes awry when one of the dudes fall in love.                Written by
Joaquín Valle","['cheerleader camp', 'cheerleader', 'high school', 'bare breasts', 'female nudity']","Runtime:
        90 min
          |
        91 min
            (unrated)","Color:
        Color","Language:
        English","Budget:$20,000,000
            (estimated)","Gross USA: $17,231,291, 5 April 2009",,
689,Fireflies in the Garden (2008),['Drama'],2008-07-17,6.5,"11,509",['Dennis Lee'],"['Robert Frost (poem),', 'Dennis Lee']","['Ryan Reynolds,', 'Willem Dafoe,', 'Emily Watson']",The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,"A family with an abusive father, a sensitive son, and a mother out of her depth: we see them when Michael is about 12 and when he's in his 30's, a writer of romance novels, going home for his mother and sister's college graduations. We go back and forth between the two periods: when Michael is a boy, the pressure builds to the point when the thin thread keeping them as a family threatens to break, and there's a fight. During Michael's trip home, there's an unexpected death which prolongs his stay and brings to the light his relationship with his father, his aunt, and her young children. Michael's estranged wife joins them for the funeral.                Written by
<jhailey@hotmail.com>","['aunt', 'author', 'confusion', 'abusive father', 'alcoholism']","Runtime:
        99 min
            (theatrical)
          |
        120 min
          |
        94 min
            (DVD)","Color:
        Color","Language:
        English","Budget:$8,000,000
            (estimated)","Gross USA: $3,393,161, 3 November 2011",/offsite/?page-action=offsite-facebook&token=BCYui9Qd3H7OxzPJ-VViG2wtOo380JFM9RI7hHGcMuvKJlco3sfhDShpajaoqNdg6Ry-j-FO3SYe%0D%0AU4sNgiiRZVoana1y7Lx2i28CWFivn-Iuja5OhWarlq5Q7Li2cO5y0eK2nRuEfday6Sy2zDSe_5SP%0D%0ApKQrzPizO6k1dGiFeAPZ5tQ7utFxo6ua0ZYe6WkjNpuf8jMto7UcnQVMOTr8zfPZ4LlNltlvUSSq%0D%0AJVfc3JnB0mQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,
690,Firehouse Dog (2007),"['Action', 'Comedy', 'Family']",2007-04-04,5.5,"5,090",['Todd Holland'],"['Claire-Dee Lim,', 'Mike Werb']","['Josh Hutcherson,', 'Bruce Greenwood,', 'Bree Turner']","Rexxx, Hollywood's top canine star, gets lost and is adopted into a shabby firehouse. He teams up with a young kid to get the station back on its feet.","Rexxx, Hollywood's top canine star, is best known for his extreme athletic abilities and diva-like demeanor. He gets lost and is reluctantly adopted into a shabby firehouse. He teams up with a young kid Shane Fahey who is ditching science class to get the station back on its feet.                Written by
Anthony Pereyra {hypersonic91@yahoo.com}","['firehouse', 'arsonist', 'wristwatch', 'animal funeral', 'mascot']","Runtime:
        111 min","Color:
        Color","Language:
        English",,"Gross USA: $13,922,019, 29 July 2007",,
691,Fireproof (2008),"['Drama', 'Romance']",2008-09-26,6.6,"18,684",['Alex Kendrick'],"['Alex Kendrick (story and screenplay),', 'Stephen Kendrick (story and screenplay)']","['Kirk Cameron,', 'Erin Bethea,', 'Ken Bevel']","In an attempt to save his marriage, a firefighter uses a 40-day experiment known as ""The Love Dare"".","In Albany, the marriage of Caleb and Catherine Holt is in crisis and they decide to divorce. However, Caleb's father, John, proposes that his son delays their separation process for forty days and follow a procedure called ""The Love Dare"" to make them love each other again.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil","['internet pornography', 'marriage', 'dare', 'fire', 'faith']",,"Color:
        Color","Language:
        English","Budget:$500,000
            (estimated)","Gross USA: $33,456,317",,
692,First Sunday (2008),"['Comedy', 'Crime', 'Drama']",2008-01-11,4.4,"8,412",['David E. Talbert'],['David E. Talbert'],"['Ice Cube,', 'Katt Williams,', 'Tracy Morgan']","Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another state with their son Durell Jr.--...
                    See full summary »","Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another state with their son Durell Jr.--unless they can get her $17,000 to pay off a debt-- and so Durell and LeeJohn ultimately comes up with a desperate scheme to rob their neighborhood church. But when the duo fumbles their way through the break-in, they discover someone has beaten them to the punch. In order to get their hands on the money, Durell and LeeJohn are forced to spend the night in the presence of the Lord and his followers--and end up getting a lot more than they bargained for.                Written by
Anthony Pereyra {hypersonic91@yahoo.com}","['church', 'money', 'theft', 'slapstick comedy', 'singer']",,"Color:
        Color","Language:
        English",,"Gross USA: $37,931,869, 24 February 2008",,
693,Fish Tank (2009),['Drama'],2009-09-11,7.3,"52,640",['Andrea Arnold'],['Andrea Arnold'],"['Katie Jarvis,', 'Michael Fassbender,', 'Kierston Wareing']",Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,"Mia, an aggressive fifteen-year-old girl, lives on an Essex estate with her tarty mother, Joanne, and precocious little sister Tyler. She has been thrown out of school and is awaiting admission to a referrals unit and spends her days aimlessly. She begins an uneasy friendship with Joanne's slick boyfriend, Connor, who encourages her one interest, dancing.                Written by
don @ minifie-1","['essex', 'suburb', '15 year old', 'little sister', 'dancing']","Runtime:
        123 min","Color:
        Color","Language:
        English",,"Gross USA: $373,060, 9 May 2010",,
694,Five Minutes of Heaven (2009),"['Drama', 'Thriller']",2009-02-27,6.7,"11,321",['Oliver Hirschbiegel'],['Guy Hibbert (screenplay)'],"['Liam Neeson,', 'James Nesbitt,', 'Anamaria Marinca']","The story of former UVF member Alistair Little. Twenty-five years after Little killed Joe Griffen's brother, the media arrange an auspicious meeting between the two.","In February, 1975, in Northern Ireland, seventeen year-old UVF member Alistair Little kills the catholic Jimmy Griffin in his house in Lurgan in front of his younger brother Joe Griffin. Alistair is arrested and imprisoned for twelve years while Joe is blamed by his mother for not saving his brother. Thirty-three years later, a TV promotes the meeting of Alistair and Joe in a house in River Finn, expecting the truth and the reconciliation of the murderer and the victim who actually seeks five minutes of heaven.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil","['reconciliation', 'vengeance', 'title spoken by character', 'cell phone', 'ireland']","Runtime:
        89 min","Color:
        Color
|         Black and White
(archive footage)","Language:
        English",,"Gross USA: $13,217, 30 August 2009",,
695,Flakes (2007),['Comedy'],2007-03-10,6.0,"3,216",['Michael Lehmann'],"['Chris Poche,', 'Karey Kirkpatrick']","['Aaron Stanford,', 'Zooey Deschanel,', 'Christopher Lloyd']","A cereal bar manager with dreams of making it big as a rock star, is admired by the locals in town until a greedy capitalist steals his entrepreneurial business.","Aspiring rock musician Neal Downs manages a cereal bar. Stylish Miss Pussy Katz is the creator of radically-themed art clothing. When the cereal bar, brings in an offbeat crew of locals, who debate the arcana of cereal history and ideal milk/flake ratios, an aspiring capitalist rips off their concept.                Written by
Marisa_Gabriella","['male objectification', 'bare chested male', 'cereal', 'capitalist', 'business']",,"Color:
        Color","Language:
        English",,"Gross USA: $778, 23 December 2007",,
696,Flash of Genius (2008),"['Biography', 'Drama']",2008-10-03,7.0,"15,319",['Marc Abraham'],"['Philip Railsback,', 'John Seabrook (article)']","['Greg Kinnear,', 'Lauren Graham,', 'Alan Alda']",Robert Kearns takes on the Detroit automakers who he claims stole his idea for the intermittent windshield wiper.,"Based on the true story of college professor and part-time inventor Robert Kearns' long battle with the U.S. automobile industry, Flash of Genius tells the tale of one man whose fight to receive recognition for his ingenuity would come at a heavy price. But this determined engineer refused to be silenced, and he took on the corporate titans in a battle that nobody thought he could win. The Kearns were a typical 1960s Detroit family, trying to live their version of the American Dream. Local university professor Bob married teacher Phyllis and, by their mid-thirties, had six kids who brought them a hectic but satisfying Midwestern existence. When Bob invents a device that would eventually be used by every car in the world, the Kearns think they have struck gold. But their aspirations are dashed after the auto giants who embraced Bob's creation unceremoniously shunned the man who invented it. Ignored, threatened and then buried in years of litigation, Bob is haunted by what was done to ...                Written by
Anonymous","['intellectual property', 'ford', 'professor', 'windshield wiper', 'justice']","Runtime:
        119 min","Color:
        Color","Language:
        English
            |
        Spanish","Budget:$20,000,000
            (estimated)","Gross USA: $4,234,040, 17 October 2008",,
697,Flawless (2007),"['Crime', 'Drama', 'Thriller']",2008-03-28,6.8,"20,855",['Michael Radford'],['Edward Anderson'],"['Demi Moore,', 'Michael Caine,', 'Lambert Wilson']","In 1960s London, an elderly caretaker convinces a glass-ceiling constrained American executive to help him steal a handful of diamonds from their employer, the London Diamond Corporation.","London, 1960. Laura Quinn is the lone female executive at London Diamond Corporation. She is frustrated as her talents are rarely acknowledged and her less-experienced male co-workers are promoted ahead of her. She is shocked, but intrigued, when the mild-mannered night janitor, Mr. Hobbs, approaches her with a daring but simple plan to steal a handful of diamonds from the vault. Laura agrees to help, but she is soon in over her head. And it is not long before insurance investigator Mr. Finch has his eyes on her.                Written by
L. Hamre","['heist', 'leaving flowers on a grave', 'diamond', 'vault', 'janitor']","Runtime:
        108 min","Color:
        Color","Language:
        English","Budget:$20,000,000
            (estimated)","Gross USA: $1,200,234, 17 July 2008",,
698,Flight (2012),"['Drama', 'Thriller']",2012-11-02,7.3,"287,201",['Robert Zemeckis'],['John Gatins'],"['Denzel Washington,', 'Nadine Velazquez,', 'Don Cheadle']","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","Whip Whitaker is a commuter airline pilot. While on a flight from Orlando to Atlanta something goes wrong and the plane starts to fly erratically. With little choice Whip crashes the plane and saves almost all on board. When he wakes up in the hospital, his friend from the airline union introduces him to a lawyer who tells him there's a chance he could face criminal charges because his blood test reveals that he was intoxicated with alcohol and cocaine. He denies being impaired, so while an investigation is underway, he is told to keep his act together. However, letting go of his addiction is not as easy as it seems...                Written by
Immanuel Ambhara","['alcoholism', 'flight', 'airline', 'pilot', 'lawyer']","Runtime:
        138 min","Color:
        Color","Language:
        English","Budget:$31,000,000
            (estimated)","Gross USA: $93,772,375, 14 February 2013",/offsite/?page-action=offsite-facebook&token=BCYrbXrUImQkOI96ngeJ8wAgqTuVfnrcKzSz_e-lQX9U-1ZkbR8nBY5LT1yGxXir9wLRlbFgSnw2%0D%0A9QT2DQdznE2w2sCkv64gFqBJTA2tog74QAufXjpDz1fluesDibGCgWLr4-sMqH-7PhxobAJ-EfFz%0D%0AuFIv3qKJqM4IDGnPZcnA_mMY3EyZI7lu4FWxaKxATPNQoFEZaiyq7G5LNQRDR6nj6C2vMqvvxejc%0D%0Ad15WSEapDUI%0D%0A&ref_=tt_pdt_ofs_offsite_0,
699,Flight of the Living Dead (2007),"['Action', 'Horror', 'Sci-Fi']",2008-06-24,5.2,"8,387",['Scott Thomas'],"['Sidney Iwanter,', 'Mark Onspaugh']","['David Chisum,', 'Kristen Kerr,', ""Kevin J. O'Connor""]","A fellow scientist accidentally escapes containment aboard a plane during turbulence. After she is gunned down by a security guard, she reanimates as a zombie, killing and infecting several...
                    See full summary »","A fellow scientist accidentally escapes containment aboard a plane during turbulence. After she is gunned down by a security guard, she reanimates as a zombie, killing and infecting several passengers and crew members on board the flight. A U.S. federal air marshall, along with a police officer, a flight attendant and a handful of survivors, must ride out the horrific flight just long enough to stay alive.","['zombie', 'plane', 'stewardess', 'scientist', 'virus']","Runtime:
        94 min","Color:
        Color","Language:
        English",,,,
700,Fling (2008),"['Drama', 'Romance', 'Thriller']",2008-10-18,6.1,"1,510",['John Stewart Muller'],"['Laura Boersma,', 'John Stewart Muller']","['Brandon Routh,', 'Steve Sandvoss,', 'Courtney Ford']",An attractive young couple's open relationship is stretched to the breaking point when each partner finds themselves falling in love with other people.,"Young writer, Mason Michael Finch, and his girlfriend, Samantha Cooper, live together but they have an open relationship. They have love affairs with different partners whenever they want and then they tell to each other details of their flings.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil","['open relationship', 'teenage girl', 'teenager', 'eating', 'table']",,"Color:
        Color","Language:
        English",,,/offsite/?page-action=offsite-facebook&token=BCYpmuR9sZuXLd7W-zBij7dH-7FT9zBNornarLzmaxWXlTtniAgMZcdpMO8sGF09V6zrw3rPTjAw%0D%0AgKug5NFvUYSYAMavEKHC3o3Ndf_VzSOwLoFjqbSzUo3_5Uvu5WzrXulX7ux80WsKMbIcJBRYyz9_%0D%0AEZ-QiBPQtTcZJK1o3kad8M4Yu2jrgBzpS10jO_SK5d1_NajneEAOUszxYFkZbyGL8AEJx8AjIC9L%0D%0ARGnzE0l5Yz5I5YNQk5Y2P8lhkMNpnBAc%0D%0A&ref_=tt_pdt_ofs_offsite_0,
701,Flipped (2010),"['Comedy', 'Drama', 'Romance']",2010-09-10,7.7,"69,836",['Rob Reiner'],"['Rob Reiner (screenplay),', 'Andrew Scheinman (screenplay)']","['Madeline Carroll,', 'Callan McAuliffe,', 'Rebecca De Mornay']",Two eighth-graders start to have feelings for each other despite being total opposites.,"Juli Baker devoutly believes in three things: the sanctity of trees (especially her beloved sycamore), the wholesomeness of the eggs she collects from her backyard flock of chickens, and that someday she will kiss Bryce Loski. Ever since she saw Bryce's dazzling brown eyes back in second grade, Juli has been smitten. Unfortunately, Bryce has never felt the same. Frankly, he thinks Juli Baker is a little weird--after all, what kind of freak raises chickens and sits in trees for fun? Then, in eighth grade, everything changes. Bryce begins to see that Juli's unusual interests and pride in her family are, well, kind of cool. And Juli starts to think that maybe Bryce's dazzling brown eyes are as empty as the rest of Bryce seems to be. After all, what kind of jerk doesn't care about other people's feelings about chickens and trees? With Flipped, mystery author Wendelin Van Draanen has taken a break from her Sammy Keyes series, and the result is flipping fantastic. Bryce and Juli's rants and...                Written by
anonymous","['falling in love', 'apology', 'younger version of character', 'multiple perspectives', 'narrated by a girl']",,"Color:
        Color","Language:
        English","Budget:$14,000,000
            (estimated)","Gross USA: $1,752,214, 10 October 2010",,
702,Flirting with Forty (2008),"['Comedy', 'Drama', 'Romance']",2008-12-06,5.9,"2,333",['Mikael Salomon'],"['Julia Dahl (teleplay),', 'Jane Porter (based on the book by)']","['Heather Locklear,', 'Robert Buckley,', 'Vanessa Williams']",A divorced mother approaching her 40th birthday falls for a younger man while on vacation.,"Jackie Laurens (Heather Locklear) is a recently divorced, 40-year-old and mother of two pre-teen kids who takes a vacation alone to Hawaii where, against her better judgment, she meets and hooks up with a hunky, much younger resident surf instructor named Kyle Hamilton (Robert Buckley). But what began as a one-night stand turns into love as when her vacation is done, she flies to Hawaii every chance she gets to meet with her latest love interest, which soon gets disapproval from her ex-husband, her teenage kids, and even her close friends. As time and the pressure from everyone around her to break it off with Kyle pushes Jackie to her breaking point, it will only take her beau Kyle to teach her how to cope before life passes her by.                Written by
matt-282","['male objectification', 'older woman younger man relationship', 'man in swimsuit', 'hawaii', 'christmas']","Runtime:
        87 min","Color:
        Color","Language:
        English
            |
        French",,,,
703,Flood (2007),"['Action', 'Drama', 'Thriller']",2007-08-24,4.8,"5,616",['Tony Mitchell'],"['Justin Bodle,', 'Matthew Cope']","['Robert Carlyle,', 'Jessalyn Gilsig,', 'Tom Courtenay']","Timely yet terrifying, The Flood predicts the unthinkable. When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East ...
                    See full summary »","Timely yet terrifying, The Flood predicts the unthinkable. When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East Coast and into the Thames Estuary. Overwhelming the Barrier, torrents of water pour into the city. The lives of millions of Londoners are at stake. Top marine engineers and barrier experts Rob, his ex-wife Sam and his father Leonard Morrison, have only a few hours to save the city from total devastation. A real probability in a real location. It is not a question of if, but when London floods.                Written by
Jonathan Rutter / Matthew Sanders","['flood', 'water', 'engineer', 'storm', 'surveillance']","Runtime:
        110 min
          |
        188 min
            (original broadcast)","Color:
        Color","Language:
        English",,,,
704,Fly Me to the Moon 3D (2008),"['Animation', 'Adventure', 'Family']",2008-08-29,4.5,"3,826","['Ben Stassen,', 'Mimi Maynard']",['Domonic Paris'],"['Trevor Gagnon,', 'Philip Bolden,', 'David Gore']",Three young houseflies stow away aboard the Apollo 11 flight to the moon.,"In the Kennedy days, all the States buzz about the Apollo moon program, even the bugs. Grandpa fly keeps 'inspiring' his grandson and two mates, a nerd and a glutton, with heroic stories. New they decide to get in on the action at Cape Canaveral via an astronaut's bred box. Grandpa also gets involved. There's also an evil Soviet Russian fly to with.                Written by
KGF Vissers","['moon', 'fly', 'cgi animation', 'outer space', 'space flight']","Runtime:
        84 min","Color:
        Color","Language:
        English","Budget:$25,000,000
            (estimated)","Gross USA: $14,532,946, 18 October 2009",,
705,Flypaper (2011),"['Comedy', 'Crime', 'Mystery']",2011-08-25,6.4,"29,314",['Rob Minkoff'],"['Jon Lucas,', 'Scott Moore']","['Patrick Dempsey,', 'Ashley Judd,', 'Tim Blake Nelson']",A man caught in the middle of two simultaneous robberies at the same bank desperately tries to protect the teller with whom he's secretly in love.,"Tripp (Patrick Dempsey) walks into a bank to get some change and ends up as a hostage to two bank robber-teams, robbing the bank he is at. In an almost Sherlock Holmesian way he has to solve this Agatha Christie inspired mystery and win the girl's (Ashley Judd) heart. But not everything is at it seems, and there are many twists and turns in this comedy.                Written by
Nali","['master criminal', 'secret identity', 'whodunit', 'murder', 'robbery gone awry']","Runtime:
        87 min","Color:
        Color","Language:
        English","Budget:$5,000,000
            (estimated)","Gross USA: $1,098, 21 August 2011",,
706,Focus (2015),"['Comedy', 'Crime', 'Drama']",2015-02-27,6.6,"179,025","['Glenn Ficarra,', 'John Requa']","['Glenn Ficarra,', 'John Requa']","['Will Smith,', 'Margot Robbie,', 'Rodrigo Santoro']","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","Nicky Spurgeon is an extremely accomplished con man who takes an amateur con artist, Jess, under his wing. Nicky and Jess become romantically involved, and with Nicky's profession of being a liar and a cheater for a living, he realizes that deception and love are things that don't go together. They split, only to see each other three years later... And things get messy.","['con artist', 'deception', 'seduction', 'con man', ""woman wearing only a man's shirt""]","Runtime:
        105 min","Color:
        Color","Language:
        English
            |
        Spanish","Budget:$50,100,000
            (estimated)","Gross USA: $53,862,963",,
707,Fool's Gold (2008),"['Action', 'Adventure', 'Comedy']",2008-02-08,5.7,"65,461",['Andy Tennant'],"['John Claflin (screenplay),', 'Daniel Zelman (screenplay)']","['Matthew McConaughey,', 'Kate Hudson,', 'Donald Sutherland']",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,"Benjamin Finnegan is a deep-sea treasure hunter certain he's onto the find of the century in waters near an island close to Key West owned by a murderous rap star to whom Ben is in debt. Ben's flat broke and recently divorced from Tess, his long-time research and diving partner whom he still loves. She's nearby, working as a steward aboard the yacht of Nigel Honeycutt, a multimillionaire. The rapper has hired a rival treasurer hunter. Can Ben convince Nigel to bankroll his search, convince Tess to work with him, keep the rapper and his thugs at bay, and find a Spanish treasure hidden for centuries and rich beyond imagination?                Written by
<jhailey@hotmail.com>","['treasure hunter', 'treasure', 'rapper', 'debt', 'yacht']","Runtime:
        112 min","Color:
        Color","Language:
        English","Budget:$70,000,000
            (estimated)","Gross USA: $70,231,041, 29 May 2008",,
708,Footloose (2011),"['Comedy', 'Drama', 'Music']",2011-10-14,5.9,"41,018",['Craig Brewer'],"['Dean Pitchford (screenplay),', 'Craig Brewer (screenplay)']","['Kenny Wormald,', 'Julianne Hough,', 'Dennis Quaid']","City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.","Being a teenager is tough, and no one knows this better than Ren McCormack, a city kid with a strong feeling for music. Ren's life changes when he moves to a small town where rock-n-roll and dancing are criminal activities. When Ren falls in love with the reverend's daughter, Ariel Moore, the music pauses and Ren needs to shape up or make dancing a legal activity once again.                Written by
Olivia Meadows","['teenager', 'small town', 'dancing', 'cotton mill', ""principal's office""]","Runtime:
        113 min","Color:
        Color","Language:
        English","Budget:$24,000,000
            (estimated)","Gross USA: $51,802,742",,
709,For Colored Girls (2010),['Drama'],2010-11-05,6.0,"6,472",['Tyler Perry'],"['Tyler Perry (screenplay),', 'Ntozake Shange (play)']","['Janet Jackson,', 'Anika Noni Rose,', 'Whoopi Goldberg']","Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular.","The movie is based on Ntozake Shange's play ""For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf."" Unlike the original play which featured only 7 women known by colors performing the collection of 20 poems, the movie has given each of the 20 characters names. Each of the poems deal with intense issues that particularly impact women in a thought-provoking commentary on what it means to be a female of color in the world.                Written by
Anonymous","['poem', 'f rated', 'african american protagonist', 'three word title', 'multi protagonist']",,"Color:
        Color","Language:
        English",,"Gross USA: $37,721,949, 16 January 2011",,
